"Chanel Rion","Philadelphia","2020-11-12T17:29:47Z",48,0
"Sigma Gamma Rho Sorority","Philadelphia","2020-11-12T17:29:47Z",49,0
"Marion County","Philadelphia","2020-11-12T17:29:47Z",50,0
"#RHOSLC","Houston","2020-11-12T13:29:39Z",1,22118
"Chris Brown","Houston","2020-11-12T13:29:39Z",2,24533
"Target","Houston","2020-11-12T13:29:39Z",3,166348
"Harden","Houston","2020-11-12T13:29:39Z",4,60410
"#thursdaythoughts","Houston","2020-11-12T13:29:39Z",5,25400
"#themasters","Houston","2020-11-12T13:29:39Z",6,29555
"#iamup","Houston","2020-11-12T13:29:39Z",7,0
"#canceldennys","Houston","2020-11-12T13:29:39Z",8,0
"Best Buy","Houston","2020-11-12T13:29:39Z",9,28391
"Cold War","Houston","2020-11-12T13:29:39Z",10,32900
"Happy Founders","Houston","2020-11-12T13:29:39Z",11,0
"Happy Friday Eve","Houston","2020-11-12T13:29:39Z",12,0
"Thankful Thursday","Houston","2020-11-12T13:29:39Z",13,0
"Big Jim","Houston","2020-11-12T13:29:39Z",14,0
"Rawlings","Houston","2020-11-12T13:29:39Z",15,30187
"Augusta","Houston","2020-11-12T13:29:39Z",16,14892
"Cedar Key","Houston","2020-11-12T13:29:39Z",17,0
"Karl Rove","Houston","2020-11-12T13:29:39Z",18,33119
"Nestor","Houston","2020-11-12T13:29:39Z",19,28712
"Louis DeJoy","Houston","2020-11-12T13:29:39Z",20,12622
"Denzel","Houston","2020-11-12T13:29:39Z",21,0
"Doctors Without Borders","Houston","2020-11-12T13:29:39Z",22,0
"Vern","Houston","2020-11-12T13:29:39Z",23,0
"Tiffany","Houston","2020-11-12T13:29:39Z",24,20999
"amen corner","Houston","2020-11-12T13:29:39Z",25,0
"moviebob","Houston","2020-11-12T13:29:39Z",26,0
"Lankford","Houston","2020-11-12T13:29:39Z",27,23976
"Ron Klain","Houston","2020-11-12T13:29:39Z",28,90263
"Ron Johnson","Houston","2020-11-12T13:29:39Z",29,0
"Toledo","Houston","2020-11-12T13:29:39Z",30,15511
"D'Angelo","Houston","2020-11-12T13:29:39Z",31,0
"mark lee","Houston","2020-11-12T13:29:39Z",32,19449
"Geraldo","Houston","2020-11-12T13:29:39Z",33,0
"No PS5","Houston","2020-11-12T13:29:39Z",34,39770
"Bumzu","Houston","2020-11-12T13:29:39Z",35,18099
"Tropical Storm Eta","Houston","2020-11-12T13:29:39Z",36,10764
"Dr Pepper","Houston","2020-11-12T13:29:39Z",37,0
"Theater","Houston","2020-11-12T13:29:39Z",38,42849
"LaVar Burton","Houston","2020-11-12T13:29:39Z",39,0
"GameStop","Houston","2020-11-12T13:29:39Z",40,22892
"Ashe","Houston","2020-11-12T13:29:39Z",41,26791
"Jeffrey Toobin","Houston","2020-11-12T13:29:39Z",42,27791
"8K to Trump","Houston","2020-11-12T13:29:39Z",43,22060
"Eric Church","Houston","2020-11-12T13:29:39Z",44,0
"Bryson","Houston","2020-11-12T13:29:39Z",45,0
"Tiger Woods","Houston","2020-11-12T13:29:39Z",46,0
"Western Michigan","Houston","2020-11-12T13:29:39Z",47,19498
"Houston Rockets","Houston","2020-11-12T13:29:39Z",48,22387
"Philippines","Houston","2020-11-12T13:29:39Z",49,131118
"Demon Souls","Houston","2020-11-12T13:29:39Z",50,18188
"#RHOSLC","Philadelphia","2020-11-12T13:59:40Z",1,22282
"Harden","Philadelphia","2020-11-12T13:59:40Z",2,61127
"#themasters","Philadelphia","2020-11-12T13:59:40Z",3,31162
"#PlayStation5","Philadelphia","2020-11-12T13:59:40Z",4,64573
"#ThursdayThoughts","Philadelphia","2020-11-12T13:59:40Z",5,27251
"Big Jim","Philadelphia","2020-11-12T13:59:40Z",6,13000
"Happy Founders","Philadelphia","2020-11-12T13:59:40Z",7,0
"#ImSoDoneWith","Philadelphia","2020-11-12T13:59:40Z",8,0
"Happy Friday Eve","Philadelphia","2020-11-12T13:59:40Z",9,0
"Rawlings","Philadelphia","2020-11-12T13:59:40Z",10,41905
"Thankful Thursday","Philadelphia","2020-11-12T13:59:40Z",11,0
"Denzel","Philadelphia","2020-11-12T13:59:40Z",12,10026
"Doctors Without Borders","Philadelphia","2020-11-12T13:59:40Z",13,0
"Karl Rove","Philadelphia","2020-11-12T13:59:40Z",14,34612
"Gary Player","Philadelphia","2020-11-12T13:59:40Z",15,0
"Good Thursday","Philadelphia","2020-11-12T13:59:40Z",16,13480
"Best Buy","Philadelphia","2020-11-12T13:59:40Z",17,29347
"Nestor","Philadelphia","2020-11-12T13:59:40Z",18,29572
"Louis DeJoy","Philadelphia","2020-11-12T13:59:40Z",19,13343
"Sigma Gamma Rho Sorority","Philadelphia","2020-11-12T13:59:40Z",20,0
"Between Two Ferns","Philadelphia","2020-11-12T13:59:40Z",21,0
"Cedar Key","Philadelphia","2020-11-12T13:59:40Z",22,0
"Flash Flood Warning","Philadelphia","2020-11-12T13:59:40Z",23,0
"Jiminy Glick","Philadelphia","2020-11-12T13:59:40Z",24,0
"White House Press Secretary","Philadelphia","2020-11-12T13:59:40Z",25,0
"Vern","Philadelphia","2020-11-12T13:59:40Z",26,0
"Chris Brown","Philadelphia","2020-11-12T13:59:40Z",27,25070
"Neil Young","Philadelphia","2020-11-12T13:59:40Z",28,0
"Lankford","Philadelphia","2020-11-12T13:59:40Z",29,25268
"Augusta National","Philadelphia","2020-11-12T13:59:40Z",30,0
"Miles Morales","Philadelphia","2020-11-12T13:59:40Z",31,41444
"Mason McHorse","Philadelphia","2020-11-12T13:59:40Z",32,0
"MovieBob","Philadelphia","2020-11-12T13:59:40Z",33,0
"Theater","Philadelphia","2020-11-12T13:59:40Z",34,44404
"D'Angelo","Philadelphia","2020-11-12T13:59:40Z",35,0
"Ron Klain","Philadelphia","2020-11-12T13:59:40Z",36,93940
"Toledo","Philadelphia","2020-11-12T13:59:40Z",37,15855
"My PS5","Philadelphia","2020-11-12T13:59:40Z",38,49566
"Geraldo","Philadelphia","2020-11-12T13:59:40Z",39,0
"ron johnson","Philadelphia","2020-11-12T13:59:40Z",40,0
"LaVar Burton","Philadelphia","2020-11-12T13:59:40Z",41,0
"DR PEPPER","Philadelphia","2020-11-12T13:59:40Z",42,0
"Tropical Storm Eta","Philadelphia","2020-11-12T13:59:40Z",43,11021
"mark lee","Philadelphia","2020-11-12T13:59:40Z",44,19829
"Ryan Gosling","Philadelphia","2020-11-12T13:59:40Z",45,0
"8K to Trump","Philadelphia","2020-11-12T13:59:40Z",46,23097
"Jeffrey Toobin","Philadelphia","2020-11-12T13:59:40Z",47,28301
"Ashe","Philadelphia","2020-11-12T13:59:40Z",48,27549
"tiger woods","Philadelphia","2020-11-12T13:59:40Z",49,0
"Maren Morris","Philadelphia","2020-11-12T13:59:40Z",50,0
"Walmart","Philadelphia","2020-11-13T00:48:22Z",1,182125
"Dearra","Philadelphia","2020-11-13T00:48:22Z",2,55421
"New Philadelphia","Philadelphia","2020-11-13T00:48:22Z",3,22698
"Puerto Rico","Philadelphia","2020-11-13T00:48:22Z",4,43158
"Ivy League","Philadelphia","2020-11-13T00:48:22Z",5,0
"Zuckerberg","Philadelphia","2020-11-13T00:48:22Z",6,40900
"Friday the 13th","Philadelphia","2020-11-13T00:48:22Z",7,83118
"Cold War","Philadelphia","2020-11-13T00:48:22Z",8,74323
"Sony","Philadelphia","2020-11-13T00:48:22Z",9,87327
"Scotland","Philadelphia","2020-11-13T00:48:22Z",10,178587
"Manchin","Philadelphia","2020-11-13T00:48:22Z",11,25961
"Megan","Philadelphia","2020-11-13T00:48:22Z",12,50938
"#USMNT","Philadelphia","2020-11-13T00:48:22Z",13,0
"greys anatomy","Philadelphia","2020-11-13T00:48:22Z",14,15596
"#themasters","Philadelphia","2020-11-13T00:48:22Z",15,51697
"#COVID","Philadelphia","2020-11-13T00:48:22Z",16,53247
